Camera, Image File Name, Description, Image Location - Easting Coordinate* Image Location - Northing Coordinate* URL
K911F, K911F.JPG, West Kowloon Hwy - Yau Ma Tei Interchange N, 834613 819573 http://tdcctv.data.one.gov.hk/K911F.JPG
K914F, K914F.JPG, West Kowloon Highway near Lai Wan Interchange, 832783 821350 http://tdcctv.data.one.gov.hk/K914F.JPG
TK101F, TK101F.JPG, Po Lam Road North near Po Hong Road, 843959 820807 http://tdcctv.data.one.gov.hk/TK101F.JPG
TK105F, TK105F.JPG, Po Shun Road near Tseung Kwan O Swimming Pool, 844972 819827 http://tdcctv.data.one.gov.hk/TK105F.JPG
TK110F, TK110F.JPG, Chui Ling Road near Po Shun Road, 844372 818516 http://tdcctv.data.one.gov.hk/TK110F.JPG
TK904F, TK904F.JPG, Tseung Kwan O Tunnel - Tseung Kwan O Side, 844296 820178 http://tdcctv.data.one.gov.hk/TK904F.JPG
NL121F, NL121F.JPG, North Lantau Highway near Sunny Bay, 820149 820655 http://tdcctv.data.one.gov.hk/NL121F.JPG
NL124F, NL124F.JPG, North Lantau Highway near Siu Ho Wan, 817086 819027 http://tdcctv.data.one.gov.hk/NL124F.JPG
NL126F, NL126F.JPG, North Lantau Highway near Pak Mong, 814546 817693 http://tdcctv.data.one.gov.hk/NL126F.JPG
NL128F, NL128F.JPG, North Lantau Highway near Tung Chung, 812639 816709 http://tdcctv.data.one.gov.hk/NL128F.JPG
PB106F, PB106F.JPG, Penny's Bay Highway, 821740 820686 http://tdcctv.data.one.gov.hk/PB106F.JPG
TC560F, TC560F.JPG, Tsing Ma Bridge, 825674 823558 http://tdcctv.data.one.gov.hk/TC560F.JPG
TR103F, TR103F.JPG, Tuen Mun Road - Yau Kom Tau Section, 827366 825737 http://tdcctv.data.one.gov.hk/TR103F.JPG
TR107F, TR107F.JPG, Tuen Mun Road - Sham Tseng Section, 825046 825201 http://tdcctv.data.one.gov.hk/TR107F.JPG
TR111F, TR111F.JPG, Tuen Mun Road - near Tsing Lung Tau, 822317 825036 http://tdcctv.data.one.gov.hk/TR111F.JPG
TR116F, TR116F.JPG, Tuen Mun Road - Siu Lam Section, 818125 825508 http://tdcctv.data.one.gov.hk/TR116F.JPG
SM936F, SM936F.JPG, Cheung Pei Shan Road, 831216 826537 http://tdcctv.data.one.gov.hk/SM936F.JPG
TC101F, TC101F.JPG, Cheung Tsing Bridge, 829564 823296 http://tdcctv.data.one.gov.hk/TC101F.JPG
TC302F, TC302F.JPG, Cheung Tsing Highway near Kam Chuk Kok, 827593 822839 http://tdcctv.data.one.gov.hk/TC302F.JPG
TW102F, TW102F.JPG, Kwai Chung Road near Container Terminal, 831675 822441 http://tdcctv.data.one.gov.hk/TW102F.JPG
TW103F, TW103F.JPG, Tsuen Wan Road near Tsuen Tsing Interchange, 830393 824630 http://tdcctv.data.one.gov.hk/TW103F.JPG
TW105F, TW105F.JPG, Kwai Tsing Road near Tsing Yi Bridge, 830749 824045 http://tdcctv.data.one.gov.hk/TW105F.JPG
TW108F, TW108F.JPG, Kwai Chung Road near Kwai Hing MTR Station, 831610 824699 http://tdcctv.data.one.gov.hk/TW108F.JPG
TW109F, TW109F.JPG, Castle Peak Road near Wo Yi Hop Road, 831993 825116 http://tdcctv.data.one.gov.hk/TW109F.JPG
TW112F, TW112F.JPG, Wo Yi Hop Road near Lei Shu Road, 832091 825877 http://tdcctv.data.one.gov.hk/TW112F.JPG
TW116F, TW116F.JPG, Texaco Road Flyover near Sha Tsui Road, 830553 825335 http://tdcctv.data.one.gov.hk/TW116F.JPG
TW117F, TW117F.JPG, Castle Peak Road near Texaco Road North, 830770 825684 http://tdcctv.data.one.gov.hk/TW117F.JPG
TW120F, TW120F.JPG, Tsuen Wan Road near Tai Chung Road, 829235 825713 http://tdcctv.data.one.gov.hk/TW120F.JPG
TW121F, TW121F.JPG, Tsing Kwai Highway/Cheung Tsing Tunnel, 829296 823288 http://tdcctv.data.one.gov.hk/TW121F.JPG
H421F, H421F.JPG, Aberdeen Tunnel - Aberdeen Side, 836325 812440 http://tdcctv.data.one.gov.hk/H421F.JPG
K202F, K202F.JPG, Argyle Street near Yim Po Fong Street, 835820 820088 http://tdcctv.data.one.gov.hk/K202F.JPG
K205F, K205F.JPG, Nathan Road near Lai Chi Kok Road, 835420 820347 http://tdcctv.data.one.gov.hk/K205F.JPG
ST701F, ST701F.JPG, Tolo Highway near Sha Tin Sewage Treatment Works, 839872 830033 http://tdcctv.data.one.gov.hk/ST701F.JPG
ST703F, ST703F.JPG, Tai Po Road near MTR Racecourse Station, 838936 828954 http://tdcctv.data.one.gov.hk/ST703F.JPG
ST712F1, ST712F1.JPG, Tate's Cairn Highway near Shatin Hospital, 839906 828893 http://tdcctv.data.one.gov.hk/ST712F1.JPG
ST714F, ST714F.JPG, Tate's Cairn Highway near Tai Shek Kwu, 839712 827856 http://tdcctv.data.one.gov.hk/ST714F.JPG
ST715F, ST715F.JPG, Sha Lek Highway near Prince Wales Hospital, 838818 826517 http://tdcctv.data.one.gov.hk/ST715F.JPG
ST721F, ST721F.JPG, Shatin Road near Yuen Chau Kok Park, 838811 827270 http://tdcctv.data.one.gov.hk/ST721F.JPG
